razina;datoteka;sirina;visina;piksela;opis;gotovo
Razina 3 — likovi na karti;grad-lik-damir.png;32;48;1536;lik na karti, jedan pogled — učitelj Damir;
Razina 3 — likovi na karti;grad-lik-luka.png;32;48;1536;lik na karti, jedan pogled — dječak Luka;
Razina 3 — likovi na karti;grad-lik-sara.png;32;48;1536;lik na karti, jedan pogled — učenica Sara;
Razina 3 — likovi na karti;grad-lik-kata.png;32;48;1536;lik na karti, jedan pogled — spremačica Kata;
Razina 3 — likovi na karti;grad-lik-zoran.png;32;48;1536;lik na karti, jedan pogled — poštar Zoran;
Razina 3 — likovi na karti;grad-lik-nada.png;32;48;1536;lik na karti, jedan pogled — šalterica Nada;
Razina 3 — likovi na karti;grad-lik-ema.png;32;48;1536;lik na karti, jedan pogled — Ema iz muzeja;
Razina 3 — likovi na karti;grad-lik-filip.png;32;48;1536;lik na karti, jedan pogled — čuvar Filip;
Razina 3 — likovi na karti;grad-lik-razvodnik.png;32;48;1536;lik na karti, jedan pogled — razvodnik u kinu;
Razina 3 — likovi na karti;grad-lik-zupnik.png;32;48;1536;lik na karti, jedan pogled — župnik;
Razina 3 — likovi na karti;grad-lik-ruza.png;32;48;1536;lik na karti, jedan pogled — starica Ruža;
Razina 3 — likovi na karti;grad-lik-klesar.png;32;48;1536;lik na karti, jedan pogled — klesar;
Razina 3 — likovi na karti;grad-lik-slaven.png;32;48;1536;lik na karti, jedan pogled — vozač Slaven;
Razina 3 — likovi na karti;grad-lik-mate.png;32;48;1536;lik na karti, jedan pogled — ribar Mate;
Razina 3 — likovi na karti;grad-lik-anka.png;32;48;1536;lik na karti, jedan pogled — ribarica Anka;
Razina 3 — likovi na karti;grad-lik-turist.png;32;48;1536;lik na karti, jedan pogled — turist s kartom;
Razina 3 — likovi na karti;grad-lik-djeca.png;32;48;1536;lik na karti, jedan pogled — djeca koja pecaju;
Razina 3 — likovi na karti;grad-lik-vrtlar.png;32;48;1536;lik na karti, jedan pogled — vrtlar;
Razina 3 — likovi na karti;grad-lik-zena-psom.png;32;48;1536;lik na karti, jedan pogled — žena sa psom;
Razina 3 — likovi na karti;grad-lik-petra.png;32;48;1536;lik na karti, jedan pogled — liječnica Petra;
Razina 3 — likovi na karti;grad-lik-boris.png;32;48;1536;lik na karti, jedan pogled — trener Boris;
Razina 3 — likovi na karti;grad-lik-dario.png;32;48;1536;lik na karti, jedan pogled — vratar Dario;
Razina 3 — likovi na karti;grad-lik-lana.png;32;48;1536;lik na karti, jedan pogled — atletičarka Lana;
Razina 3 — likovi na karti;grad-lik-stipe.png;32;48;1536;lik na karti, jedan pogled — domar Stipe;
Razina 3 — likovi na karti;grad-lik-kreso.png;32;48;1536;lik na karti, jedan pogled — navijač Krešo;
Razina 4 — interijeri i sitnice;grad-unut-pod-drveni.png;32;32;1024;drveni pod — kuća, knjižnica;
Razina 4 — interijeri i sitnice;grad-unut-pod-plocice.png;32;32;1024;pločice — ambulanta, pekara;
Razina 4 — interijeri i sitnice;grad-unut-pod-kamen.png;32;32;1024;kameni pod — crkva, muzej;
Razina 4 — interijeri i sitnice;grad-unut-pod-tepison.png;32;32;1024;tepison — kino, škola;
Razina 4 — interijeri i sitnice;grad-unut-zid-1.png;32;32;1024;unutarnji zid, obojan;
Razina 4 — interijeri i sitnice;grad-unut-zid-2.png;32;32;1024;unutarnji zid s lamperijom;
Razina 4 — interijeri i sitnice;grad-unut-zid-3.png;32;32;1024;kameni unutarnji zid;
Razina 4 — interijeri i sitnice;grad-unut-prozor.png;32;32;1024;unutarnji prozor;
Razina 4 — interijeri i sitnice;grad-unut-vrata.png;32;32;1024;unutarnja vrata / izlaz;
Razina 4 — interijeri i sitnice;grad-unut-otirac.png;32;32;1024;otirač na izlazu — mjesto povratka van;
Razina 4 — interijeri i sitnice;grad-unut-pult-drveni.png;64;32;2048;pult, konoba i pekara;
Razina 4 — interijeri i sitnice;grad-unut-pult-kamen.png;64;32;2048;kameni pult, tržnica;
Razina 4 — interijeri i sitnice;grad-unut-salter.png;64;32;2048;šalter s pregradom, pošta;
Razina 4 — interijeri i sitnice;grad-unut-police-knjige.png;32;64;2048;police s knjigama;
Razina 4 — interijeri i sitnice;grad-unut-police-roba.png;32;64;2048;police s robom;
Razina 4 — interijeri i sitnice;grad-unut-vitrina.png;64;32;2048;staklena vitrina — muzej, pekara;
Razina 4 — interijeri i sitnice;grad-unut-stand-1.png;64;48;3072;tržnični štand s voćem;
Razina 4 — interijeri i sitnice;grad-unut-stand-2.png;64;48;3072;tržnični štand s povrćem;
Razina 4 — interijeri i sitnice;grad-unut-stol.png;64;32;2048;stol;
Razina 4 — interijeri i sitnice;grad-unut-stolica.png;32;32;1024;stolica;
Razina 4 — interijeri i sitnice;grad-unut-klupa-skolska.png;64;32;2048;školska klupa;
Razina 4 — interijeri i sitnice;grad-unut-ploca.png;64;48;3072;školska ploča;
Razina 4 — interijeri i sitnice;grad-unut-krevet.png;32;64;2048;krevet;
Razina 4 — interijeri i sitnice;grad-unut-ormar.png;32;64;2048;ormar;
Razina 4 — interijeri i sitnice;grad-unut-pec.png;32;48;1536;krušna peć;
Razina 4 — interijeri i sitnice;grad-unut-kasa.png;32;32;1024;blagajna;
Razina 4 — interijeri i sitnice;grad-unut-sanduk.png;32;32;1024;sanduk / kutija;
Razina 4 — interijeri i sitnice;grad-unut-tepih-1.png;64;64;4096;tepih, topli ton;
Razina 4 — interijeri i sitnice;grad-unut-tepih-2.png;64;64;4096;tepih, hladni ton;
Razina 4 — interijeri i sitnice;grad-unut-sat.png;32;32;1024;zidni sat;
Razina 4 — interijeri i sitnice;grad-unut-biljka.png;32;32;1024;biljka u loncu;
Razina 4 — interijeri i sitnice;grad-unut-oltar.png;64;48;3072;oltar u crkvi;
Razina 4 — interijeri i sitnice;grad-unut-klupa-crkva.png;64;32;2048;crkvena klupa;
Razina 4 — interijeri i sitnice;grad-unut-svijecnjak.png;32;48;1536;svijećnjak;
Razina 4 — interijeri i sitnice;grad-unut-mreza.png;32;32;1024;ribarska mreža na zidu;
Razina 4 — interijeri i sitnice;grad-unut-sanduk-riba.png;32;32;1024;sanduk s ribom;
Razina 4 — interijeri i sitnice;grad-unut-svlacionica-klupa.png;64;32;2048;klupa u svlačionici;
Razina 4 — interijeri i sitnice;grad-unut-ormaric.png;32;48;1536;ormarić u svlačionici;
Razina 4 — interijeri i sitnice;grad-vanj-klupa.png;64;32;2048;klupa u parku i na trgu;
Razina 4 — interijeri i sitnice;grad-vanj-fenjer.png;32;64;2048;ulični fenjer;
Razina 4 — interijeri i sitnice;grad-vanj-sanducic.png;32;32;1024;poštanski sandučić;
Razina 4 — interijeri i sitnice;grad-vanj-kos-smece.png;32;32;1024;koš za smeće;
Razina 4 — interijeri i sitnice;grad-vanj-tabla.png;32;32;1024;tabla s natpisom, čita se razmaknicom;
Razina 4 — interijeri i sitnice;grad-vanj-plakat.png;32;48;1536;plakat na zidu;
Razina 4 — interijeri i sitnice;grad-vanj-bicikl.png;32;32;1024;bicikl naslonjen na zid;
