datoteka;vrsta;dimenzije;naslov / opis;koristi
rijec-sendvic.mp3;zvuk;—;izgovor: „sendvič”;sve igre
rijec-pizza.png;slika;512×512;pizza — pizza (Hrana);sve igre
rijec-pizza.mp3;zvuk;—;izgovor: „pizza”;sve igre
rijec-cevapi.png;slika;512×512;ćevapi — ćevapi (Hrana);sve igre
rijec-cevapi.mp3;zvuk;—;izgovor: „ćevapi”;sve igre
rijec-kolac.png;slika;512×512;kolač — pastry (Hrana);sve igre
rijec-kolac.mp3;zvuk;—;izgovor: „kolač”;sve igre
rijec-secer.png;slika;512×512;šećer — sugar (Hrana);sve igre
rijec-secer.mp3;zvuk;—;izgovor: „šećer”;sve igre
rijec-sol.png;slika;512×512;sol — salt (Hrana);sve igre
rijec-sol.mp3;zvuk;—;izgovor: „sol”;sve igre
rijec-dzem.png;slika;512×512;džem — jam (Hrana);sve igre
rijec-dzem.mp3;zvuk;—;izgovor: „džem”;sve igre
rijec-meso.png;slika;512×512;meso — meat (Hrana);sve igre
rijec-meso.mp3;zvuk;—;izgovor: „meso”;sve igre
rijec-piletina.png;slika;512×512;piletina — chicken (Hrana);sve igre
rijec-piletina.mp3;zvuk;—;izgovor: „piletina”;sve igre
rijec-riza.png;slika;512×512;riža — rice (Hrana);sve igre
rijec-riza.mp3;zvuk;—;izgovor: „riža”;sve igre
rijec-tjestenina.png;slika;512×512;tjestenina — pasta (Hrana);sve igre
rijec-tjestenina.mp3;zvuk;—;izgovor: „tjestenina”;sve igre
rijec-krumpir.png;slika;512×512;krumpir — potato (Hrana);sve igre
rijec-krumpir.mp3;zvuk;—;izgovor: „krumpir”;sve igre
rijec-mrkva.png;slika;512×512;mrkva — carrot (Hrana);sve igre
rijec-mrkva.mp3;zvuk;—;izgovor: „mrkva”;sve igre
rijec-kruska.png;slika;512×512;kruška — pear (Hrana);sve igre
rijec-kruska.mp3;zvuk;—;izgovor: „kruška”;sve igre
rijec-grozde.png;slika;512×512;grožđe — grapes (Hrana);sve igre
rijec-grozde.mp3;zvuk;—;izgovor: „grožđe”;sve igre
rijec-lubenica.png;slika;512×512;lubenica — watermelon (Hrana);sve igre
rijec-lubenica.mp3;zvuk;—;izgovor: „lubenica”;sve igre
rijec-jagoda.png;slika;512×512;jagoda — strawberry (Hrana);sve igre
rijec-jagoda.mp3;zvuk;—;izgovor: „jagoda”;sve igre
rijec-breskva.png;slika;512×512;breskva — peach (Hrana);sve igre
rijec-breskva.mp3;zvuk;—;izgovor: „breskva”;sve igre
rijec-tresnja.png;slika;512×512;trešnja — cherry (Hrana);sve igre
rijec-tresnja.mp3;zvuk;—;izgovor: „trešnja”;sve igre
rijec-limun.png;slika;512×512;limun — lemon (Hrana);sve igre
rijec-limun.mp3;zvuk;—;izgovor: „limun”;sve igre
rijec-naranca.png;slika;512×512;naranča — orange (Hrana);sve igre
rijec-naranca.mp3;zvuk;—;izgovor: „naranča”;sve igre
rijec-maslina.png;slika;512×512;maslina — olive (Hrana);sve igre
rijec-maslina.mp3;zvuk;—;izgovor: „maslina”;sve igre
rijec-orah.png;slika;512×512;orah — walnut (Hrana);sve igre
rijec-orah.mp3;zvuk;—;izgovor: „orah”;sve igre
rijec-med.png;slika;512×512;med — honey (Hrana);sve igre
rijec-med.mp3;zvuk;—;izgovor: „med”;sve igre
rijec-maslac.png;slika;512×512;maslac — butter (Hrana);sve igre
rijec-maslac.mp3;zvuk;—;izgovor: „maslac”;sve igre
rijec-brasno.png;slika;512×512;brašno — flour (Hrana);sve igre
rijec-brasno.mp3;zvuk;—;izgovor: „brašno”;sve igre
rijec-dorucak.png;slika;512×512;doručak — breakfast (Hrana);sve igre
rijec-dorucak.mp3;zvuk;—;izgovor: „doručak”;sve igre
rijec-rucak.png;slika;512×512;ručak — lunch (Hrana);sve igre
rijec-rucak.mp3;zvuk;—;izgovor: „ručak”;sve igre
rijec-vecera.png;slika;512×512;večera — dinner (Hrana);sve igre
rijec-vecera.mp3;zvuk;—;izgovor: „večera”;sve igre
rijec-kobasica.png;slika;512×512;kobasica — sausage (Hrana);sve igre
rijec-kobasica.mp3;zvuk;—;izgovor: „kobasica”;sve igre
rijec-sunka.png;slika;512×512;šunka — ham (Hrana);sve igre
rijec-sunka.mp3;zvuk;—;izgovor: „šunka”;sve igre
rijec-paprika.png;slika;512×512;paprika — pepper (Hrana);sve igre
rijec-paprika.mp3;zvuk;—;izgovor: „paprika”;sve igre
rijec-krastavac.png;slika;512×512;krastavac — cucumber (Hrana);sve igre
rijec-krastavac.mp3;zvuk;—;izgovor: „krastavac”;sve igre
rijec-kupus.png;slika;512×512;kupus — cabbage (Hrana);sve igre
rijec-kupus.mp3;zvuk;—;izgovor: „kupus”;sve igre
rijec-grah.png;slika;512×512;grah — beans (Hrana);sve igre
rijec-grah.mp3;zvuk;—;izgovor: „grah”;sve igre
rijec-gljiva.png;slika;512×512;gljiva — mushroom (Hrana);sve igre
rijec-gljiva.mp3;zvuk;—;izgovor: „gljiva”;sve igre
rijec-bombon.png;slika;512×512;bombon — candy (Hrana);sve igre
rijec-bombon.mp3;zvuk;—;izgovor: „bombon”;sve igre
rijec-keks.png;slika;512×512;keks — biscuit (Hrana);sve igre
rijec-keks.mp3;zvuk;—;izgovor: „keks”;sve igre
rijec-umak.png;slika;512×512;umak — sauce (Hrana);sve igre
rijec-umak.mp3;zvuk;—;izgovor: „umak”;sve igre
rijec-cesnjak.png;slika;512×512;češnjak — garlic (Hrana);sve igre
rijec-cesnjak.mp3;zvuk;—;izgovor: „češnjak”;sve igre
rijec-hrana.png;slika;512×512;hrana — food (Hrana);sve igre
rijec-hrana.mp3;zvuk;—;izgovor: „hrana”;sve igre
rijec-obrok.png;slika;512×512;obrok — meal (Hrana);sve igre
rijec-obrok.mp3;zvuk;—;izgovor: „obrok”;sve igre
rijec-recept.png;slika;512×512;recept — recipe (Hrana);sve igre
rijec-recept.mp3;zvuk;—;izgovor: „recept”;sve igre
rijec-kava.png;slika;512×512;kava — coffee (Piće);sve igre
rijec-kava.mp3;zvuk;—;izgovor: „kava”;sve igre
rijec-voda.png;slika;512×512;voda — water (Piće);sve igre
rijec-voda.mp3;zvuk;—;izgovor: „voda”;sve igre
rijec-sok.png;slika;512×512;sok — juice (Piće);sve igre
rijec-sok.mp3;zvuk;—;izgovor: „sok”;sve igre
rijec-vino.png;slika;512×512;vino — wine (Piće);sve igre
rijec-vino.mp3;zvuk;—;izgovor: „vino”;sve igre
rijec-caj.png;slika;512×512;čaj — tea (Piće);sve igre
rijec-caj.mp3;zvuk;—;izgovor: „čaj”;sve igre
rijec-mlijeko.png;slika;512×512;mlijeko — milk (Piće);sve igre
rijec-mlijeko.mp3;zvuk;—;izgovor: „mlijeko”;sve igre
rijec-pivo.png;slika;512×512;pivo — beer (Piće);sve igre
rijec-pivo.mp3;zvuk;—;izgovor: „pivo”;sve igre
rijec-limunada.png;slika;512×512;limunada — lemonade (Piće);sve igre
rijec-limunada.mp3;zvuk;—;izgovor: „limunada”;sve igre
rijec-kakao.png;slika;512×512;kakao — cocoa (Piće);sve igre
rijec-kakao.mp3;zvuk;—;izgovor: „kakao”;sve igre
rijec-sampanjac.png;slika;512×512;šampanjac — champagne (Piće);sve igre
rijec-sampanjac.mp3;zvuk;—;izgovor: „šampanjac”;sve igre
rijec-rakija.png;slika;512×512;rakija — brandy (Piće);sve igre
rijec-rakija.mp3;zvuk;—;izgovor: „rakija”;sve igre
rijec-casa.png;slika;512×512;čaša — glass (Piće);sve igre
rijec-casa.mp3;zvuk;—;izgovor: „čaša”;sve igre
rijec-boca.png;slika;512×512;boca — bottle (Piće);sve igre
rijec-boca.mp3;zvuk;—;izgovor: „boca”;sve igre
rijec-salica.png;slika;512×512;šalica — cup (Piće);sve igre
rijec-salica.mp3;zvuk;—;izgovor: „šalica”;sve igre
rijec-led.png;slika;512×512;led — ice (Piće);sve igre
rijec-led.mp3;zvuk;—;izgovor: „led”;sve igre
rijec-napitak.png;slika;512×512;napitak — beverage (Piće);sve igre
rijec-napitak.mp3;zvuk;—;izgovor: „napitak”;sve igre
rijec-kapucino.png;slika;512×512;kapučino — cappuccino (Piće);sve igre
rijec-kapucino.mp3;zvuk;—;izgovor: „kapučino”;sve igre
rijec-cajnik.png;slika;512×512;čajnik — teapot (Piće);sve igre
rijec-cajnik.mp3;zvuk;—;izgovor: „čajnik”;sve igre
rijec-slamka.png;slika;512×512;slamka — straw (Piće);sve igre
rijec-slamka.mp3;zvuk;—;izgovor: „slamka”;sve igre
rijec-gutljaj.png;slika;512×512;gutljaj — sip (Piće);sve igre
rijec-gutljaj.mp3;zvuk;—;izgovor: „gutljaj”;sve igre
rijec-pas.png;slika;512×512;pas — dog (Životinje);sve igre
rijec-pas.mp3;zvuk;—;izgovor: „pas”;sve igre
rijec-macka.png;slika;512×512;mačka — cat (Životinje);sve igre
rijec-macka.mp3;zvuk;—;izgovor: „mačka”;sve igre
rijec-konj.png;slika;512×512;konj — horse (Životinje);sve igre
rijec-konj.mp3;zvuk;—;izgovor: „konj”;sve igre
rijec-lav.png;slika;512×512;lav — lion (Životinje);sve igre
rijec-lav.mp3;zvuk;—;izgovor: „lav”;sve igre
rijec-zebra.png;slika;512×512;zebra — zebra (Životinje);sve igre
rijec-zebra.mp3;zvuk;—;izgovor: „zebra”;sve igre
rijec-zaba.png;slika;512×512;žaba — frog (Životinje);sve igre
rijec-zaba.mp3;zvuk;—;izgovor: „žaba”;sve igre
rijec-foka.png;slika;512×512;foka — seal (Životinje);sve igre
rijec-foka.mp3;zvuk;—;izgovor: „foka”;sve igre
rijec-golub.png;slika;512×512;golub — pigeon (Životinje);sve igre
rijec-golub.mp3;zvuk;—;izgovor: „golub”;sve igre
rijec-galeb.png;slika;512×512;galeb — seagull (Životinje);sve igre
rijec-galeb.mp3;zvuk;—;izgovor: „galeb”;sve igre
rijec-ptica.png;slika;512×512;ptica — bird (Životinje);sve igre
rijec-ptica.mp3;zvuk;—;izgovor: „ptica”;sve igre
rijec-mis.png;slika;512×512;miš — mouse (Životinje);sve igre
rijec-mis.mp3;zvuk;—;izgovor: „miš”;sve igre
rijec-zec.png;slika;512×512;zec — rabbit (Životinje);sve igre
rijec-zec.mp3;zvuk;—;izgovor: „zec”;sve igre
rijec-medvjed.png;slika;512×512;medvjed — bear (Životinje);sve igre
rijec-medvjed.mp3;zvuk;—;izgovor: „medvjed”;sve igre
rijec-vuk.png;slika;512×512;vuk — wolf (Životinje);sve igre
rijec-vuk.mp3;zvuk;—;izgovor: „vuk”;sve igre
rijec-lisica.png;slika;512×512;lisica — fox (Životinje);sve igre
rijec-lisica.mp3;zvuk;—;izgovor: „lisica”;sve igre
rijec-jelen.png;slika;512×512;jelen — deer (Životinje);sve igre
rijec-jelen.mp3;zvuk;—;izgovor: „jelen”;sve igre
rijec-krava.png;slika;512×512;krava — cow (Životinje);sve igre
rijec-krava.mp3;zvuk;—;izgovor: „krava”;sve igre
rijec-svinja.png;slika;512×512;svinja — pig (Životinje);sve igre
rijec-svinja.mp3;zvuk;—;izgovor: „svinja”;sve igre
rijec-ovca.png;slika;512×512;ovca — sheep (Životinje);sve igre
rijec-ovca.mp3;zvuk;—;izgovor: „ovca”;sve igre
rijec-koza.png;slika;512×512;koza — goat (Životinje);sve igre
rijec-koza.mp3;zvuk;—;izgovor: „koza”;sve igre
rijec-kokos.png;slika;512×512;kokoš — hen (Životinje);sve igre
rijec-kokos.mp3;zvuk;—;izgovor: „kokoš”;sve igre
rijec-patka.png;slika;512×512;patka — duck (Životinje);sve igre
rijec-patka.mp3;zvuk;—;izgovor: „patka”;sve igre
rijec-guska.png;slika;512×512;guska — goose (Životinje);sve igre
rijec-guska.mp3;zvuk;—;izgovor: „guska”;sve igre
rijec-pijetao.png;slika;512×512;pijetao — rooster (Životinje);sve igre
rijec-pijetao.mp3;zvuk;—;izgovor: „pijetao”;sve igre
rijec-slon.png;slika;512×512;slon — elephant (Životinje);sve igre
rijec-slon.mp3;zvuk;—;izgovor: „slon”;sve igre
rijec-majmun.png;slika;512×512;majmun — monkey (Životinje);sve igre
rijec-majmun.mp3;zvuk;—;izgovor: „majmun”;sve igre
rijec-tigar.png;slika;512×512;tigar — tiger (Životinje);sve igre
rijec-tigar.mp3;zvuk;—;izgovor: „tigar”;sve igre
rijec-zirafa.png;slika;512×512;žirafa — giraffe (Životinje);sve igre
rijec-zirafa.mp3;zvuk;—;izgovor: „žirafa”;sve igre
rijec-krokodil.png;slika;512×512;krokodil — crocodile (Životinje);sve igre
rijec-krokodil.mp3;zvuk;—;izgovor: „krokodil”;sve igre
rijec-zmija.png;slika;512×512;zmija — snake (Životinje);sve igre
rijec-zmija.mp3;zvuk;—;izgovor: „zmija”;sve igre
rijec-kornjaca.png;slika;512×512;kornjača — turtle (Životinje);sve igre
rijec-kornjaca.mp3;zvuk;—;izgovor: „kornjača”;sve igre
rijec-puz.png;slika;512×512;puž — snail (Životinje);sve igre
rijec-puz.mp3;zvuk;—;izgovor: „puž”;sve igre
rijec-pcela.png;slika;512×512;pčela — bee (Životinje);sve igre
rijec-pcela.mp3;zvuk;—;izgovor: „pčela”;sve igre
rijec-leptir.png;slika;512×512;leptir — butterfly (Životinje);sve igre
rijec-leptir.mp3;zvuk;—;izgovor: „leptir”;sve igre
rijec-mrav.png;slika;512×512;mrav — ant (Životinje);sve igre
rijec-mrav.mp3;zvuk;—;izgovor: „mrav”;sve igre
rijec-pauk.png;slika;512×512;pauk — spider (Životinje);sve igre
rijec-pauk.mp3;zvuk;—;izgovor: „pauk”;sve igre
rijec-dupin.png;slika;512×512;dupin — dolphin (Životinje);sve igre
rijec-dupin.mp3;zvuk;—;izgovor: „dupin”;sve igre
rijec-kit.png;slika;512×512;kit — whale (Životinje);sve igre
rijec-kit.mp3;zvuk;—;izgovor: „kit”;sve igre
rijec-rak.png;slika;512×512;rak — crab (Životinje);sve igre
rijec-rak.mp3;zvuk;—;izgovor: „rak”;sve igre
rijec-hobotnica.png;slika;512×512;hobotnica — octopus (Životinje);sve igre
rijec-hobotnica.mp3;zvuk;—;izgovor: „hobotnica”;sve igre
rijec-sova.png;slika;512×512;sova — owl (Životinje);sve igre
rijec-sova.mp3;zvuk;—;izgovor: „sova”;sve igre
rijec-orao.png;slika;512×512;orao — eagle (Životinje);sve igre
rijec-orao.mp3;zvuk;—;izgovor: „orao”;sve igre
rijec-vjeverica.png;slika;512×512;vjeverica — squirrel (Životinje);sve igre
rijec-vjeverica.mp3;zvuk;—;izgovor: „vjeverica”;sve igre
rijec-jez.png;slika;512×512;jež — hedgehog (Životinje);sve igre
rijec-jez.mp3;zvuk;—;izgovor: „jež”;sve igre
rijec-sismis.png;slika;512×512;šišmiš — bat (Životinje);sve igre
rijec-sismis.mp3;zvuk;—;izgovor: „šišmiš”;sve igre
rijec-janje.png;slika;512×512;janje — lamb (Životinje);sve igre
rijec-janje.mp3;zvuk;—;izgovor: „janje”;sve igre
rijec-mace.png;slika;512×512;mače — kitten (Životinje);sve igre
rijec-mace.mp3;zvuk;—;izgovor: „mače”;sve igre
rijec-stene.png;slika;512×512;štene — puppy (Životinje);sve igre
rijec-stene.mp3;zvuk;—;izgovor: „štene”;sve igre
rijec-mama.png;slika;512×512;mama — mom (Ljudi);sve igre
rijec-mama.mp3;zvuk;—;izgovor: „mama”;sve igre
rijec-tata.png;slika;512×512;tata — dad (Ljudi);sve igre
rijec-tata.mp3;zvuk;—;izgovor: „tata”;sve igre
rijec-brat.png;slika;512×512;brat — brother (Ljudi);sve igre
rijec-brat.mp3;zvuk;—;izgovor: „brat”;sve igre
rijec-sestra.png;slika;512×512;sestra — sister (Ljudi);sve igre
rijec-sestra.mp3;zvuk;—;izgovor: „sestra”;sve igre
rijec-baka.png;slika;512×512;baka — grandma (Ljudi);sve igre
rijec-baka.mp3;zvuk;—;izgovor: „baka”;sve igre
rijec-djed.png;slika;512×512;djed — grandpa (Ljudi);sve igre
rijec-djed.mp3;zvuk;—;izgovor: „djed”;sve igre
rijec-dijete.png;slika;512×512;dijete — child (Ljudi);sve igre
rijec-dijete.mp3;zvuk;—;izgovor: „dijete”;sve igre
rijec-djecak.png;slika;512×512;dječak — boy (Ljudi);sve igre
rijec-djecak.mp3;zvuk;—;izgovor: „dječak”;sve igre
rijec-djevojcica.png;slika;512×512;djevojčica — girl (Ljudi);sve igre
rijec-djevojcica.mp3;zvuk;—;izgovor: „djevojčica”;sve igre
rijec-prijatelj.png;slika;512×512;prijatelj — friend (Ljudi);sve igre
rijec-prijatelj.mp3;zvuk;—;izgovor: „prijatelj”;sve igre
rijec-student.png;slika;512×512;student — student (Ljudi);sve igre
rijec-student.mp3;zvuk;—;izgovor: „student”;sve igre
rijec-profesor.png;slika;512×512;profesor — professor (Ljudi);sve igre
rijec-profesor.mp3;zvuk;—;izgovor: „profesor”;sve igre
rijec-uciteljica.png;slika;512×512;učiteljica — teacher (Ljudi);sve igre
rijec-uciteljica.mp3;zvuk;—;izgovor: „učiteljica”;sve igre
rijec-turist.png;slika;512×512;turist — tourist (Ljudi);sve igre
rijec-turist.mp3;zvuk;—;izgovor: „turist”;sve igre
rijec-susjed.png;slika;512×512;susjed — neighbour (Ljudi);sve igre
rijec-susjed.mp3;zvuk;—;izgovor: „susjed”;sve igre
rijec-obitelj.png;slika;512×512;obitelj — family (Ljudi);sve igre
rijec-obitelj.mp3;zvuk;—;izgovor: „obitelj”;sve igre
rijec-ljudi.png;slika;512×512;ljudi — people (Ljudi);sve igre
rijec-ljudi.mp3;zvuk;—;izgovor: „ljudi”;sve igre
rijec-covjek.png;slika;512×512;čovjek — man (Ljudi);sve igre
rijec-covjek.mp3;zvuk;—;izgovor: „čovjek”;sve igre
rijec-zena.png;slika;512×512;žena — woman (Ljudi);sve igre
rijec-zena.mp3;zvuk;—;izgovor: „žena”;sve igre
rijec-muz.png;slika;512×512;muž — husband (Ljudi);sve igre
rijec-muz.mp3;zvuk;—;izgovor: „muž”;sve igre
rijec-supruga.png;slika;512×512;supruga — wife (Ljudi);sve igre
rijec-supruga.mp3;zvuk;—;izgovor: „supruga”;sve igre
rijec-sin.png;slika;512×512;sin — son (Ljudi);sve igre
rijec-sin.mp3;zvuk;—;izgovor: „sin”;sve igre
rijec-kci.png;slika;512×512;kći — daughter (Ljudi);sve igre
rijec-kci.mp3;zvuk;—;izgovor: „kći”;sve igre
rijec-teta.png;slika;512×512;teta — aunt (Ljudi);sve igre
rijec-teta.mp3;zvuk;—;izgovor: „teta”;sve igre
rijec-ujak.png;slika;512×512;ujak — uncle (Ljudi);sve igre
rijec-ujak.mp3;zvuk;—;izgovor: „ujak”;sve igre
rijec-bratic.png;slika;512×512;bratić — cousin (Ljudi);sve igre
rijec-bratic.mp3;zvuk;—;izgovor: „bratić”;sve igre
rijec-unuk.png;slika;512×512;unuk — grandson (Ljudi);sve igre
rijec-unuk.mp3;zvuk;—;izgovor: „unuk”;sve igre
rijec-roditelji.png;slika;512×512;roditelji — parents (Ljudi);sve igre
rijec-roditelji.mp3;zvuk;—;izgovor: „roditelji”;sve igre
rijec-prijateljica.png;slika;512×512;prijateljica — friend (f) (Ljudi);sve igre
rijec-prijateljica.mp3;zvuk;—;izgovor: „prijateljica”;sve igre
rijec-kolega.png;slika;512×512;kolega — colleague (Ljudi);sve igre
rijec-kolega.mp3;zvuk;—;izgovor: „kolega”;sve igre
rijec-gost.png;slika;512×512;gost — guest (Ljudi);sve igre
rijec-gost.mp3;zvuk;—;izgovor: „gost”;sve igre
rijec-sef.png;slika;512×512;šef — boss (Ljudi);sve igre
rijec-sef.mp3;zvuk;—;izgovor: „šef”;sve igre
rijec-decko.png;slika;512×512;dečko — boyfriend (Ljudi);sve igre
rijec-decko.mp3;zvuk;—;izgovor: „dečko”;sve igre
rijec-djevojka.png;slika;512×512;djevojka — girlfriend (Ljudi);sve igre
rijec-djevojka.mp3;zvuk;—;izgovor: „djevojka”;sve igre
rijec-gospodin.png;slika;512×512;gospodin — mister (Ljudi);sve igre
rijec-gospodin.mp3;zvuk;—;izgovor: „gospodin”;sve igre
rijec-gospoda.png;slika;512×512;gospođa — madam (Ljudi);sve igre
rijec-gospoda.mp3;zvuk;—;izgovor: „gospođa”;sve igre
rijec-mladic.png;slika;512×512;mladić — young man (Ljudi);sve igre
rijec-mladic.mp3;zvuk;—;izgovor: „mladić”;sve igre
rijec-starac.png;slika;512×512;starac — old man (Ljudi);sve igre
rijec-starac.mp3;zvuk;—;izgovor: „starac”;sve igre
rijec-skupina.png;slika;512×512;skupina — group (Ljudi);sve igre
rijec-skupina.mp3;zvuk;—;izgovor: „skupina”;sve igre
rijec-narod.png;slika;512×512;narod — nation (Ljudi);sve igre
rijec-narod.mp3;zvuk;—;izgovor: „narod”;sve igre
rijec-beba.png;slika;512×512;beba — baby (Ljudi);sve igre
rijec-beba.mp3;zvuk;—;izgovor: „beba”;sve igre
rijec-tinejdzer.png;slika;512×512;tinejdžer — teenager (Ljudi);sve igre
rijec-tinejdzer.mp3;zvuk;—;izgovor: „tinejdžer”;sve igre
rijec-ime.png;slika;512×512;ime — name (Ljudi);sve igre
rijec-ime.mp3;zvuk;—;izgovor: „ime”;sve igre
rijec-prezime.png;slika;512×512;prezime — surname (Ljudi);sve igre
rijec-prezime.mp3;zvuk;—;izgovor: „prezime”;sve igre
rijec-susjeda.png;slika;512×512;susjeda — neighbour (f) (Ljudi);sve igre
rijec-susjeda.mp3;zvuk;—;izgovor: „susjeda”;sve igre
rijec-grad.png;slika;512×512;grad — city (Mjesta);sve igre
rijec-grad.mp3;zvuk;—;izgovor: „grad”;sve igre
rijec-kuca.png;slika;512×512;kuća — house (Mjesta);sve igre
rijec-kuca.mp3;zvuk;—;izgovor: „kuća”;sve igre
rijec-hotel.png;slika;512×512;hotel — hotel (Mjesta);sve igre
rijec-hotel.mp3;zvuk;—;izgovor: „hotel”;sve igre
rijec-restoran.png;slika;512×512;restoran — restaurant (Mjesta);sve igre
rijec-restoran.mp3;zvuk;—;izgovor: „restoran”;sve igre
rijec-kafic.png;slika;512×512;kafić — café (Mjesta);sve igre
rijec-kafic.mp3;zvuk;—;izgovor: „kafić”;sve igre
rijec-skola.png;slika;512×512;škola — school (Mjesta);sve igre
rijec-skola.mp3;zvuk;—;izgovor: „škola”;sve igre
rijec-trznica.png;slika;512×512;tržnica — market (Mjesta);sve igre
rijec-trznica.mp3;zvuk;—;izgovor: „tržnica”;sve igre
rijec-trgovina.png;slika;512×512;trgovina — shop (Mjesta);sve igre
rijec-trgovina.mp3;zvuk;—;izgovor: „trgovina”;sve igre
rijec-posta.png;slika;512×512;pošta — post office (Mjesta);sve igre
rijec-posta.mp3;zvuk;—;izgovor: „pošta”;sve igre
rijec-pekara.png;slika;512×512;pekara — bakery (Mjesta);sve igre
rijec-pekara.mp3;zvuk;—;izgovor: „pekara”;sve igre
rijec-kazaliste.png;slika;512×512;kazalište — theatre (Mjesta);sve igre
rijec-kazaliste.mp3;zvuk;—;izgovor: „kazalište”;sve igre
rijec-kino.png;slika;512×512;kino — cinema (Mjesta);sve igre
rijec-kino.mp3;zvuk;—;izgovor: „kino”;sve igre
rijec-muzej.png;slika;512×512;muzej — museum (Mjesta);sve igre
rijec-muzej.mp3;zvuk;—;izgovor: „muzej”;sve igre
rijec-galerija.png;slika;512×512;galerija — gallery (Mjesta);sve igre
rijec-galerija.mp3;zvuk;—;izgovor: „galerija”;sve igre
rijec-katedrala.png;slika;512×512;katedrala — cathedral (Mjesta);sve igre
rijec-katedrala.mp3;zvuk;—;izgovor: „katedrala”;sve igre
rijec-most.png;slika;512×512;most — bridge (Mjesta);sve igre
rijec-most.mp3;zvuk;—;izgovor: „most”;sve igre
rijec-trg.png;slika;512×512;trg — square (Mjesta);sve igre
rijec-trg.mp3;zvuk;—;izgovor: „trg”;sve igre
rijec-ulica.png;slika;512×512;ulica — street (Mjesta);sve igre
rijec-ulica.mp3;zvuk;—;izgovor: „ulica”;sve igre
rijec-stanica.png;slika;512×512;stanica — stop (Mjesta);sve igre
rijec-stanica.mp3;zvuk;—;izgovor: „stanica”;sve igre
rijec-kolodvor.png;slika;512×512;kolodvor — train station (Mjesta);sve igre
rijec-kolodvor.mp3;zvuk;—;izgovor: „kolodvor”;sve igre
rijec-aerodrom.png;slika;512×512;aerodrom — airport (Mjesta);sve igre
rijec-aerodrom.mp3;zvuk;—;izgovor: „aerodrom”;sve igre
rijec-stadion.png;slika;512×512;stadion — stadium (Mjesta);sve igre
rijec-stadion.mp3;zvuk;—;izgovor: „stadion”;sve igre
rijec-apoteka.png;slika;512×512;apoteka — pharmacy (Mjesta);sve igre
rijec-apoteka.mp3;zvuk;—;izgovor: „apoteka”;sve igre
rijec-teretana.png;slika;512×512;teretana — gym (Mjesta);sve igre
rijec-teretana.mp3;zvuk;—;izgovor: „teretana”;sve igre
rijec-biblioteka.png;slika;512×512;biblioteka — library (Mjesta);sve igre
rijec-biblioteka.mp3;zvuk;—;izgovor: „biblioteka”;sve igre
rijec-ured.png;slika;512×512;ured — office (Mjesta);sve igre
rijec-ured.mp3;zvuk;—;izgovor: „ured”;sve igre
